ime,oznaka,tezavnost,avtor,stevilo_sestavin,cas_priprave,cas_kuhanja,skupni_cas,dolzina_navodil,energija_100g,energija_porcija
Šalotke v medeno-gorčični omaki,Božič in novo leto,1,B. J.,5,7,20,27,458,162.9,252.5
Cmočki iz svinjine v omaki,Slovenska,2,B. J.,20,20,25,45,1356,149.42,621.25
Krompir v srajčki,Pomlad,1,T. D.,5,15,30,45,1015,159.05,518.5
Riž s piščancem in zelenjavo,Azijska,2,T. D.,12,22,25,47,1334,113.38,266.0
Medeni kolač,Kuhinje,2,B. J.,10,10,40,50,1230,328.67,345.1
Mesna štruca s sirom,Meso,2,T. D.,8,20,60,80,1063,265.18,550.25
Sladko-kisle perutničke,Kuhinje,1,T. D.,10,70,30,100,1149,209.49,717.5
Klobasa z dušenim zeljem,Jesen,1,B. J.,8,10,30,40,1262,128.85,433.25
Rebrca po ameriško,Meso,2,T. D.,3,4,,4,504,,
Rebrca z zeljno solato,Zima,2,T. D.,15,71,40,111,997,190.98,818.0
Pikantne mesne kroglice,Meso,2,T. D.,11,8,8,16,865,218.13,472.25
Praznična nadevana gos,Martinovo,2,T. D.,15,40,190,230,2579,162.45,640.9
Lepljivi kolač,Zabava,1,B. J.,13,30,30,60,1604,352.41,498.88
Pikantna svinjska rebrca,Meso,2,K. I.,8,200,68,268,1557,268.72,360.75
Casserole s klobaso in krompirjem,Meso,1,T. D.,11,12,64,76,1315,250.37,1004.0
Tajska omaka iz sladkih čilijev,Azijska,1,M. J.,8,7,7,14,635,138.12,95.0
Reubenov casserole,Meso,2,T. D.,11,40,40,80,892,204.24,508.17
Casserole s šunko in testeninami,Meso,2,T. D.,11,10,55,65,1040,253.56,365.5
Svinjska rebrca s čilijevo čokolado,Kuhinje,2,K. I.,9,15,10,25,822,254.82,541.5
Svinjska rebrca z javorjevim sirupom,Kuhinje,2,K. I.,9,10,45,55,725,252.25,578.75
Pečena jetra z jabolki,Meso,2,B. J.,11,15,20,35,1255,117.31,311.5
Domači tabasko,Kuhinje,1,M. J.,3,20,7,27,795,40.0,16.0
Ocvrt mesni sir,Meso,2,B. J.,7,10,16,26,1321,286.88,617.5
Čilijevo olje,Kuhinje,1,M. J.,2,5,,5,615,323.81,170.0
Prefinjene pokrovače,Na hitro,1,T. D.,12,6,6,12,670,110.68,251.25
Harissa,Kuhinje,1,M. J.,5,40,5,45,904,291.67,87.5
Vražja piščančja bedra,Meso,2,T. D.,12,7,40,47,819,239.71,454.25
Sambal ulek,Azijska,1,M. J.,3,10,5,15,830,39.37,20.0
Predjed z bučnimi cvetovi,Vegetarijanstvo,1,T. D.,8,8,10,18,1062,75.62,237.25
Krompirjevi cmoki s slanino,Jesen,2,K. I.,11,30,48,78,1600,182.74,600.75
Mesni sir,Meso,2,B. J.,14,40,150,190,1280,194.25,288.42
Piščančje prsi po mediteransko,Italijanska,1,T. D.,12,8,21,29,1134,76.13,484.0
Kakijev smoothie,Zdravo in vegi,1,B. J.,5,10,,10,280,126.95,158.75
Borovničevi cmoki iz skutnega testa,Slovenska,2,K. I.,8,50,10,60,1421,225.44,449.75
"Posladek s kakiji, mandlji in ledenko",Jesen,1,B. J.,4,15,,15,662,127.12,95.5
Kakijevi prigrizki,Zabava,2,B. J.,6,25,12,37,1026,161.49,166.33
Kakijeva krema s smetano,Jesen,1,B. J.,8,45,,45,756,208.72,292.5
Piščanec z olivami in bučo,Meso,2,T. D.,10,246,50,296,1693,134.48,562.0
Kakijev kolač,Jesen,1,B. J.,10,15,40,55,1055,348.08,386.08
Testenine s telečjimi zrezki,Slovenska,2,T. D.,8,8,28,36,1384,123.17,2106.5
Jajčevci z mesom,Kuhinje,2,T. D.,11,10,45,55,778,118.44,399.75
Goveji žepki z meto,Kuhinje,2,K. I.,22,50,45,95,2530,253.64,400.17
Ramstek masalino skorjico,Meso,1,K. I.,9,70,20,90,1265,155.66,385.5
Makaroni z jetrci in sirom,Slovenska,1,B. J.,8,15,35,50,1316,248.57,463.0
Jetrne palačinke,Meso,1,B. J.,7,15,20,35,979,135.21,230.4
Goveje kocke s testeninami,Italijanska,1,K. I.,12,8,35,43,1461,229.53,493.5
Tatarski biftek s konjakom,Zabava,1,B. J.,13,20,,20,705,143.05,225.75
Tikvenik,Jesen,2,B. J.,6,20,30,50,1107,282.75,254.9
Mehiške lobanje,Mehiška,3,B. J.,11,30,15,45,1109,348.37,542.8
Ocvrti bučkini cvetovi,Poletje,2,T. D.,9,10,4,14,1235,123.46,113.0
Sladke bučne kockice,Mehiška,1,B. J.,7,25,125,150,969,95.98,382.5
Mehiški kruh mrtvih,Mehiška,3,B. J.,11,180,40,220,1395,267.72,594.5
Mesne kroglice s pršutom,Zabava,2,K. I.,9,10,25,35,855,194.06,261.5
Grška omleta,Vegetarijanstvo,1,T. D.,10,10,15,25,1449,107.58,418.5
Pica s kmečkim pršutom,Zabava,1,T. D.,8,10,22,32,1206,206.59,736.5
Madridske mesne kroglice,Meso,2,T. D.,20,15,30,45,1322,157.06,416.0
Šči,Zima,2,B. J.,14,40,200,240,1511,84.03,415.25
Krapki z dimljeno postrvjo,Zabava,2,T. D.,14,30,20,50,1645,294.83,102.89
Krapki s prekajenim lososom,Zabava,2,T. D.,14,30,20,50,2485,309.82,118.7
Krema iz avokada,Vegetarijanstvo,1,T. D.,8,10,,10,562,222.53,382.75
Španski ognjeni žepki,Zabava,2,T. D.,12,30,40,70,1213,119.02,241.75
Domače kislo zelje,Zelenjava,3,B. J.,5,180,,180,1915,25.89,1588.0
Koktajl ognjenih zubljev,Pijača,1,K. I.,3,10,,10,506,46.91,30.5
Pečen pastinak z zelišči,Jesen,1,K. I.,7,10,30,40,748,75.9,115.75
Kuhan pastinak,Zelenjava,1,K. I.,6,10,15,25,813,70.91,39.0
"Krapki s kozicami, slanino in šampinjoni",Zabava,2,T. D.,13,30,37,67,1722,58.99,91.09
Pastinakov čips,Zabava,1,K. I.,3,15,10,25,826,74.61,112.5
Švedske princeske,Zabava,2,B. J.,13,90,20,110,1672,412.41,504.4
Gratiniran pastinak,Zelenjava,1,K. I.,6,10,20,30,850,170.16,220.0
Princeske s smetano in jagodami,Zabava,2,T. D.,9,30,20,50,1567,172.95,56.03
Orehovi polži,Slovenska,2,B. J.,14,130,35,165,1125,419.67,330.75
Profiteroli z mandlji in čokolado,Zabava,2,T. D.,10,20,28,48,1698,344.79,80.66
Pastinakova juha z lešnikovim pestom,Jesen,1,K. I.,14,15,30,45,1253,167.14,434.5
Prigrizki z jajčnim nadevom,Zabava,2,T. D.,13,40,23,63,1884,299.1,111.29
Pečen pastinak,Jesen,2,K. I.,5,10,20,30,744,124.31,158.5
Kroglice iz kozjega sira,Vegetarijanstvo,1,T. D.,5,6,3,9,600,455.77,513.5
Pečen pastinak z javorjevim sirupom,Vegetarijanstvo,1,K. I.,3,10,15,25,466,75.0,56.25
Pita s paradižikom in mocarelo,Vegetarijanstvo,2,T. D.,17,39,30,69,1505,314.05,625.75
Žajbljev čaj,Zdravo in vegi,1,T. D.,5,11,5,16,1459,301.54,49.0
Borovničev čaj,Zdravo in vegi,1,T. D.,3,10,10,20,1645,7.39,17.0
Koprivov čaj,Pijača,1,T. D.,3,4,10,14,1435,273.17,28.0
Sirova plošča z medom,Zabava,1,T. D.,7,10,,10,459,334.5,167.25
Juha iz rdeče paprike s pomarančo,Kuhinje,2,K. I.,5,6,24,30,1192,47.38,167.25
Palačinke z medom,Sladice,1,T. D.,8,65,15,80,1333,430.83,413.0
Tagliatelle z bučo,Italijanska,2,K. I.,13,10,32,42,1429,148.82,396.75
Svinjske hrenovke s pomfrijem,Slovenska,1,K. I.,5,15,20,35,1330,128.61,342.75
Koktajl pokvarjena buča,Noč čarovnic,1,K. I.,2,10,,10,296,,
Lucijine mačke,Zima,3,B. J.,9,80,10,90,1427,322.62,656.2
Slovaški halušky z ovčjim sirom,Zima,2,B. J.,7,15,25,40,929,145.48,281.5
Solata s posebno salamo,Piknik in žar,1,B. J.,8,15,,15,604,110.13,217.5
Polnjena jajca z rakci,Velika noč,1,T. D.,10,7,18,25,1279,116.0,435.0
Ingverjevi piškotni duhci,Noč čarovnic,2,K. I.,14,65,20,85,1517,380.15,204.9
Strašljivi prsti,Noč čarovnic,1,K. I.,3,5,10,15,476,270.13,520.0
Ruska solata,Zabava,2,B. J.,12,70,15,85,1336,103.98,288.88
Piškoti za noč čarovnic,Noč čarovnic,2,K. I.,9,70,15,85,1035,405.59,290.0
Kosti iz beljakov,Noč čarovnic,1,T. D.,4,40,60,100,1161,247.34,97.7
Krompirjevi svaljki z zeljem,Vegetarijanstvo,2,B. J.,15,45,40,85,1293,79.76,368.0
Zeljna solata s korenjem,Jesen,1,B. J.,10,45,,45,618,45.57,100.5
Suhe slive v slanini,Zabava,1,K. I.,3,20,15,35,553,338.67,84.67
Sendvič z jajcem in šunko,Kuhinje,2,K. I.,7,10,5,15,907,233.85,525.0
Domača medica,Slovenska,1,B. J.,9,15,10,25,476,275.65,332.47
Mediteranski špageti,Italijanska,2,K. I.,9,10,20,30,786,365.01,477.25
Srčasti ravioli,Italijanska,2,S. M.,10,50,,50,1272,238.75,705.5
Mediteranski narezek,Zabava,1,K. I.,4,15,,15,427,298.87,396.0
Jagnjetina navarin,Meso,2,B. J.,16,20,160,180,1480,122.97,676.17
Orehov liker,Poletje,1,B. J.,7,30,,30,1215,334.21,404.81
Svinjina z gobami,Meso,2,K. I.,11,5,29,34,1224,76.38,223.25
Lizike,Zabava,2,B. J.,7,25,20,45,1469,407.37,36.93
Solata Caprese z rukolo,Italijanska,1,S. M.,7,15,,15,476,117.07,168.0
Bigoš,Jesen,1,B. J.,15,40,105,145,1591,109.19,394.75
Špageti z ratatouille omako,Vegetarijanstvo,1,S. M.,11,10,20,30,1233,133.85,518.0
"Stolp iz jajčevcev, paradižnika in mocarele",Vegetarijanstvo,1,S. M.,5,20,20,40,857,64.06,208.5
Peresniki s pisano zelenjavo,Italijanska,1,S. M.,6,10,18,28,1200,100.46,703.25
Kutinov liker,Jesen,1,B. J.,7,20,,20,541,298.55,236.0
Mini pitice s sirom,Zabava,2,T. D.,13,40,20,60,1263,379.32,228.0
Lososovi zvitki,Zabava,2,T. D.,3,15,,15,810,430.0,71.67
Palačinke z lososom in mocarelo,Zabava,1,K. I.,10,35,30,65,1328,292.0,272.0
Špecli,Testenine in žita,1,K. I.,7,15,3,18,689,225.16,294.25
Šparglji s slanino,Slovenska,1,K. I.,10,20,7,27,956,136.3,234.5
Havajski ananas,Kuhinje,1,K. I.,4,10,5,15,457,56.94,225.75
Pikantni svinjski zrezki,Meso,2,K. I.,6,10,10,20,859,124.11,205.75
Indijski piščančji curry,Okusi sveta,1,S. M.,14,10,40,50,1164,121.13,444.33
Rižota z lisičkami in zelenjavo,Italijanska,2,S. M.,14,15,35,50,1515,116.24,572.75
Testenine s piščancem in suhimi paradižniki,Italijanska,1,S. M.,7,8,18,26,1104,326.92,637.5
Jagnječja zarebrnica z rdečim ribezom,Priložnostno,2,K. I.,10,10,23,33,990,247.55,417.25
Solata z račjimi prsmi,Valentinovo,2,T. D.,10,10,20,30,1091,151.56,461.5
Tournedoji Rossini,Valentinovo,2,K. I.,8,70,20,90,1500,223.99,387.5
Beli mousse,Sladice,3,T. D.,6,20,12,32,846,398.35,305.75
Gratiniran krompir s korenjem,Slovenska,2,T. D.,10,15,40,55,1200,74.23,180.5
Krompirjevi cmoki,Slovenska,2,T. D.,7,16,40,56,1594,144.43,421.75
Piščančje-zelenjavni golaž,Kosilo,2,S. M.,14,15,45,60,1213,63.22,315.38
Nemška solata,Solate,1,K. I.,7,20,,20,485,177.38,233.25
Piščanec v beli omaki,Slovenska,1,S. M.,10,10,25,35,1186,95.71,426.25
Kepice iz rakcev,Valentinovo,2,T. D.,8,20,30,50,894,109.39,104.5
Limonini piškoti,Zima,1,B. J.,12,15,20,35,1347,314.74,597.7
Solata s klobaso in pokrovačami,Zelenjava,1,T. D.,9,9,18,27,1216,198.26,795.5
Domača slana pita,Slovenska,2,T. D.,16,45,60,105,1291,278.18,660.83
Korejski kimči,Azijska,2,B. J.,9,330,,330,1539,26.01,75.0
Jajčni liker,Pijača,1,B. J.,7,60,,60,846,135.25,480.25
Picco de gallo,Poletje,1,B. J.,6,15,,15,714,23.68,65.25
Piščančje tamale,Meso,2,B. J.,13,35,180,215,2435,213.16,573.17
Arabske mesne kroglice,Kuhinje,3,B. J.,17,50,25,75,1817,236.08,467.5
Kapitanovi ravioli,Testenine in žita,2,T. D.,14,75,17,92,1645,269.83,979.5
Ocvrte ribje palčke,Slovenska,2,T. D.,10,10,12,22,1683,107.15,411.5
Mleta govedina po tajsko,Meso,2,B. J.,12,10,20,30,1041,129.57,399.5
Zelenjavna nabodala z mečarico,Zelenjava,2,T. D.,7,10,10,20,1159,32.55,168.75
Turška sladica s kutinami,Jesen,1,B. J.,4,15,180,195,1294,203.45,191.75
Afriška sladica,Kuhinje,1,T. D.,5,20,,20,1155,502.61,115.6
Pečene kutine s sirupom,Jesen,1,B. J.,9,15,130,145,755,156.17,369.13
"Solata s tofujem, datlji in zelenjavo",Zdravo in vegi,1,T. D.,9,15,5,20,1782,55.28,163.5
Kislo-pekoča juha s piščancem,Kuhinje,2,K. I.,13,10,15,25,1135,140.26,347.0
Čapati (nevzhajan indijski kruh),Testenine in žita,1,K. I.,4,15,24,39,990,347.37,264.0
Morski karpačo,Kuhinje,2,K. I.,8,20,,20,752,137.78,248.0
Pečen piščanec po mediteransko,Okusi sveta,2,S. M.,9,15,45,60,920,190.85,446.6
Kutinov kolač,Slovenska,2,B. J.,8,25,45,70,1040,386.27,270.0
Pita Tatin s kutinami,Jesen,2,B. J.,8,75,40,115,1601,180.32,643.5
Irska kava,Zima,1,B. J.,4,10,15,25,484,,
Piščanec z rdečim vinom,Meso,2,T. D.,16,18,37,55,2363,161.86,546.33
Jajčni vlivanci,Slovenska,1,K. I.,2,10,5,15,551,142.86,25.0
Vroč preliv iz jagodičevja,Na hitro,1,B. J.,3,10,7,17,780,82.0,71.75
Ocvrt piščanec s pomfrijem,Slovenska,2,T. D.,7,15,20,35,2514,181.44,665.5
Piščančje prsi z olivami,Meso,1,T. D.,11,12,28,40,1154,82.45,310.25
Kamilični čaj,Pijača,1,S. M.,3,10,5,15,656,,
Metin čaj,Slovenska,1,S. M.,3,10,5,15,684,,
Solata iz testenin in piščanca,Italijanska,1,T. D.,14,130,34,164,2012,120.95,806.0
Kraljevski zajtrk,Na hitro,2,S. M.,8,10,25,35,1163,88.94,555.0
Jušne kroglice,Slovenska,1,K. I.,5,20,5,25,862,387.19,78.0
Rooibos čaj,Zdravo in vegi,1,S. M.,3,5,5,10,1035,,
Lipov čaj,Pijača,1,S. M.,3,10,8,18,700,,
Vroča limonada,Pijača,1,B. J.,3,15,10,25,956,28.75,28.75
Dišeči kakav,Pijača,1,S. M.,4,5,8,13,508,379.03,23.5
Frijoles charros,Mehiška,2,K. I.,15,20,165,185,1894,183.07,662.5
Pita s kutinami,Slovenska,2,B. J.,9,45,20,65,2040,391.92,392.92
Avstralski piščančji gyros,Kuhinje,2,K. I.,8,15,10,25,1118,148.89,538.25
Piščančje prsi z gobami,Jesen,2,T. D.,14,11,45,56,1373,113.26,379.75
Karpačo iz mečarice,Ribe in morski sadeži,2,T. D.,8,45,,45,1558,60.44,276.5
Tamale s svinjino,Mehiška,2,B. J.,12,35,180,215,1941,295.12,291.13
Nabodala iz oliv in mariniranih sardonov,Zabava,2,T. D.,5,255,,255,1736,115.87,72.3
Paprika z mariniranimi inčuni,Zabava,1,T. D.,6,246,18,264,1789,62.94,45.0
Predjed z morskim pridihom,Zabava,2,T. D.,11,190,2,192,2864,116.31,120.4
Piščančji fajitas,Mehiška,1,B. J.,15,65,15,80,1116,165.27,273.67
Sveža salsa,Mehiška,1,B. J.,13,70,,70,768,54.45,183.5
Domači gyros,Zabava,1,K. I.,8,20,15,35,1216,192.92,524.75
Casserole s klobaso in paradižnikom,Meso,1,B. J.,14,15,55,70,1694,187.5,956.25
Mešanica začimb za gyros,Domači pripravki,1,K. I.,8,5,,5,310,111.67,67.0
Mandljeva strjenka s prelivom iz jagodičevja,Zabava,1,B. J.,7,135,17,152,906,115.48,78.0
Tiramisu v kozarcu,Zabava,1,S. M.,8,15,10,25,882,360.47,460.5
Čokoladni piškoti z začimbami,Zabava,2,T. D.,16,150,18,168,1204,471.02,482.5
Brinovo žganje,Pijača,1,T. D.,2,20,,20,1160,250.0,250.0
Dušene hobotnice,Italijanska,1,T. D.,7,10,28,38,1090,142.17,372.5
Kostanj s karamelo in sladoledom,Jesen,2,S. M.,4,15,50,65,739,269.69,304.75
"Rižota s kostanjem, šunko in drobnjakom",Jesen,2,S. M.,8,15,40,55,1148,275.5,514.5
Čokoladni kostanj,Sladice,2,S. M.,5,15,40,55,1074,346.63,514.75
Solata iz lisičk in kostanja,Jesen,2,S. M.,7,20,47,67,989,115.19,237.0
Špageti z zelenjavo in mesom,Italijanska,1,T. D.,10,12,18,30,1189,132.82,565.5
Domači tortelini z genovskim pestom,Italijanska,2,T. D.,15,62,18,80,1599,318.18,721.0
Peresniki s špinačo,Italijanska,1,T. D.,9,12,23,35,1253,47.57,602.0
Ingverjev sirup,Pijača,1,B. J.,4,70,25,95,1870,94.66,192.88
Zvitki iz jajčevcev,Kosilo,2,K. I.,7,45,15,60,1518,126.23,213.33
Sladki krompirjev pire s kostanjem,Jesen,1,S. M.,8,15,20,35,918,177.7,376.5
Vrtna solata,Poletje,1,B. J.,5,15,,15,633,45.23,251.0
Šipkov liker,Slovenska,2,K. I.,3,200,,200,543,83.0,24.9
Pečena buča butternut,Jesen,1,S. M.,6,15,45,60,1077,77.14,205.0
Reubenov sendvič,Kuhinje,1,B. J.,6,15,20,35,896,293.45,638.25
Kostanjeva potica,Slovenska,3,S. M.,19,140,65,205,3518,278.12,433.17
Šipkov čaj,Slovenska,1,K. I.,2,12,,12,275,,
Šipkova juha,Jesen,2,K. I.,8,20,135,155,785,221.15,258.75
Šipkova marmelada,Slovenska,2,K. I.,4,60,40,100,754,70.15,119.25
Govedina s figami,Meso,2,K. I.,10,15,65,80,1168,148.44,375.83
Palačinke z nutello in banano,Sladice,1,T. D.,10,45,15,60,1128,269.48,625.5
Prisrčni prigrizki,Vegetarijanstvo,1,T. D.,5,20,,20,645,205.71,316.8
Pečen goveji jezik,Slovenska,2,K. I.,7,15,90,105,1052,117.2,456.25
Vegetarijanski topli sendvič,Vegetarijanstvo,1,T. D.,7,8,3,11,756,132.96,538.5
Vegetarijanski prigrizki,Vegetarijanstvo,1,T. D.,11,25,,25,797,220.59,400.6
Goveja nabodala s slanino,Poletje,2,K. I.,8,20,20,40,1360,137.2,653.75
Hrenovke na žaru,Zabava,2,K. I.,2,40,10,50,437,,
Buffalove piščančje perutničke,Kuhinje,2,B. J.,12,10,30,40,1116,248.79,538.83
Pomaka z modrim sirom,Kuhinje,1,B. J.,9,15,,15,474,290.19,195.3
Lososova pomaka,Zabava,1,B. J.,9,15,,15,615,196.13,162.1
Polnjeni šampinjoni,Slovenska,2,K. I.,13,15,35,50,1234,185.45,376.5
Francoske štručke,Piknik in žar,2,B. J.,7,130,20,150,1319,178.44,87.44
Piščančji šiškebab,Balkanska,2,K. I.,8,30,10,40,1041,156.29,236.0
Francoski sendvič s pečenko,Piknik in žar,1,B. J.,5,10,,10,617,219.67,576.75
Ržen kruh z grozdjem in lešniki,Jesen,2,B. J.,13,30,130,160,1228,460.0,375.67
Široki rezanci s slanino,Slovenska,2,S. M.,6,10,20,30,1300,96.95,421.5
Kmečka juha z jajcem in klobaso,Slovenska,2,S. M.,7,5,20,25,1194,200.18,285.75
Kolerabna juha s poširanim jajcem,Zdravo in vegi,2,S. M.,6,10,35,45,1569,31.35,40.75
Široki rezanci z repki in olivami,Italijanska,2,S. M.,9,15,15,30,1166,206.26,387.25
Klobasni casserole,Slovenska,1,S. M.,11,10,25,35,1052,115.04,437.0
Olivna juha s croutonsi,Slovenska,2,S. M.,9,10,40,50,1596,78.02,414.5
Široki rezanci s tartufi,Italijanska,2,S. M.,9,10,20,30,1286,289.95,406.0
Rezanci s stebelci brokolija,Slovenska,2,S. M.,4,10,15,25,1220,221.22,372.75
Piščančji curry z bobom in rdečo papriko na rižu,Poletje,2,B. J.,17,10,20,30,1931,150.98,387.0
Zmečkanček iz brusnic in zelenega čaja,Zdravo in vegi,1,S. M.,6,10,,10,228,46.16,111.5
Piščanec s pomarančo,Meso,2,T. D.,9,12,32,44,968,193.02,199.2
Zeleni zmečkanček,Zdravo in vegi,1,S. M.,8,10,,10,423,58.94,215.5
Solata iz govejega jezika,Slovenska,1,T. D.,9,15,60,75,905,143.71,259.75
Čokoladno-mentolove kocke,Božič in novo leto,1,K. I.,7,130,20,150,1361,528.57,279.3
Gratiniran por s kuhanim krompirjem,Slovenska,2,T. D.,9,15,65,80,1442,111.22,658.5
Svinjska ribica v skorjici iz slanine,Meso,2,B. J.,13,25,55,80,2007,154.23,618.25
Čokoladne kocke,Božič in novo leto,1,K. I.,5,120,10,130,877,433.48,113.88
Pomaka Baba Ghanoush,Azijska,1,B. J.,7,15,60,75,1314,66.46,31.8
Namaz iz boba s kozjim sirom,Zabava,1,B. J.,10,12,18,30,1718,295.28,312.5
Malinova torta,Valentinovo,2,T. D.,20,180,45,225,2376,174.73,498.88
Namaz iz belega fižola z žajbljem,Piknik in žar,1,B. J.,9,5,5,10,644,210.55,216.17
Prigrizki z govejim jezikom,Zabava,1,T. D.,4,20,60,80,804,187.67,517.5
Špageti s pečenim paradižnikom in česnom,Slovenska,1,S. M.,5,8,20,28,1185,68.74,511.25
Piščančje krače s pomarančo,Meso,1,S. M.,6,140,40,180,1702,179.91,622.5
Kuhano belo vino z medom,Zima,1,T. D.,5,4,5,9,809,119.98,367.75
Mošnjički iz šunke,Slovenska,1,S. M.,5,8,2,10,865,147.45,50.5
Pečeni češnjevi paradižniki,Italijanska,1,S. M.,5,5,20,25,839,34.76,183.0
Pečen česen,Slovenska,1,S. M.,3,5,30,35,703,143.55,22.25
Narezek z govejim jezikom in zelenjavo,Zabava,2,T. D.,15,50,82,132,1636,90.9,427.5
Kuharjev prigrizek,Slovenska,1,S. M.,9,25,10,35,1151,91.09,587.5
Lešnikove napolitanke,Zabava,1,T. D.,8,15,5,20,851,486.92,514.38
Domače napolitanke,Slovenska,2,T. D.,10,30,5,35,982,522.46,250.9
Karamelne kocke,Zabava,2,K. I.,5,370,20,390,1256,512.6,159.33
Bučne kocke,Noč čarovnic,2,K. I.,16,165,45,210,1719,423.61,612.0
Čokoladna hruškova torta,Jesen,2,B. J.,10,15,60,75,1834,379.02,281.5
Škampovi zvitki,Kuhinje,2,K. I.,11,15,20,35,1676,169.49,110.25
Omaka tisočerih otokov,Kuhinje,1,B. J.,8,185,,185,401,55.02,21.75
Makove palačinke z maskarponejem,Zabava,2,T. D.,13,45,15,60,1320,172.34,406.0
Hruškova torta z ingverjem,Jesen,2,B. J.,14,20,80,100,2177,306.69,320.75
Goveji file v rdeči vinski omaki,Božič in novo leto,2,T. D.,12,15,10,25,870,176.8,176.0
Ohrovtovi zvitki,Zdravo in vegi,2,T. D.,14,30,38,68,2148,129.54,473.5
Hot dog po domače,Priložnostno,1,T. D.,4,5,12,17,1097,138.94,196.25
Lepljive perutničke,Priložnostno,2,T. D.,7,36,30,66,1050,182.15,641.75
Čokoladno-lešnikove kocke,Zabava,1,K. I.,6,135,10,145,898,498.05,374.88
Domač hruškov kruh,Jesen,1,B. J.,9,20,80,100,1372,244.91,375.63
Sendvič Črni rus,Kuhinje,1,B. J.,14,10,,10,590,106.71,318.0
Trufli,Zabava,2,K. I.,7,280,5,285,1198,565.23,263.0
Francoska čokoladna torta,Sladice,2,K. I.,8,60,35,95,1768,417.5,386.2
Čokoladno-marelični puding,Božič in novo leto,2,K. I.,8,20,45,65,1281,344.6,385.67
Piščanec s smetano in rezanci,Meso,2,S. M.,8,15,25,40,1880,257.11,618.5
Jabolčni drobljenec,Jesen,1,S. M.,9,10,30,40,782,259.04,948.75
Preprosta postrv,Slovenska,2,S. M.,7,5,15,20,1643,197.53,559.0
Čokoladni sorbet,Sladice,2,K. I.,4,150,10,160,708,545.66,180.75
Veliki čokoladni piškoti,Zabava,2,K. I.,14,20,15,35,1733,488.51,514.4
Baklava z mandlji in pistacijo,Sladice,2,T. D.,9,26,48,74,1663,468.14,1175.67
Pečena postrv z mandlji,Slovenska,1,S. M.,6,12,18,30,1203,165.87,365.75
Ocvrt sladki krompir,Kuhinje,2,K. I.,4,15,15,30,1274,85.83,216.5
Kuhano rdeče vino,Jesen,1,T. D.,8,5,7,12,1083,79.28,505.0
Bučnice,Jesen,1,T. D.,4,15,30,45,876,563.16,10.7
Naan,Testenine in žita,2,K. I.,9,90,15,105,1077,311.07,221.25
Popečena mečarica z mangovo salso,Ribe in morski sadeži,2,T. D.,8,6,10,16,1504,118.19,294.0
Browniji z malinami in čokoladnim prelivom,Valentinovo,2,T. D.,12,15,38,53,1434,339.22,517.63
Turški med,Sladice,2,T. D.,8,29,6,35,858,380.13,514.13
Mečarica na žaru na zelenjavni posteljici,Zabava,2,T. D.,8,4,20,24,639,39.6,99.5
Jagnječje pleče z zelišči,Velika noč,2,S. M.,6,5,50,55,1263,248.36,442.5
Jagnječja rebra z ribezom,Slovenska,2,S. M.,8,10,40,50,838,121.23,1275.0
Jagnječji kotleti s pinjolami,Meso,2,S. M.,15,15,30,45,1250,250.63,789.5
Marinirane jagnječje zarebrnice,Slovenska,2,S. M.,8,70,40,110,1144,264.75,559.63
Napoleonove rezine,Italijanska,3,S. M.,13,25,35,60,2470,299.57,328.11
Domači oreo keksi,Kuhinje,2,S. M.,9,20,17,37,1678,387.51,320.67
Piščanec s papriko,Meso,2,T. D.,11,8,45,53,1052,150.54,529.67
Jesenske oči,Jesen,2,T. D.,8,13,20,33,890,329.69,350.38
Navihani srčki,Valentinovo,2,T. D.,10,46,10,56,1330,480.5,526.75
Super velike kozice,Priložnostno,2,K. I.,8,15,12,27,691,74.43,97.5
Polnjeni repki kozic,Kuhinje,2,K. I.,13,20,21,41,1365,276.18,907.25
Škampova nabodala,Ribe in morski sadeži,2,K. I.,7,20,6,26,779,73.63,94.25
Mehiški koruzni mafini,Kuhinje,1,S. M.,14,10,20,30,992,266.18,181.67
Kitajski mafini,Slovenska,1,S. M.,13,10,20,30,1225,164.47,123.83
Škampovi repki s slanino,Zabava,2,K. I.,4,15,6,21,346,168.21,254.0
Ognjene kozice,Kuhinje,2,K. I.,10,15,25,40,976,182.33,598.5
Oljčni mafini z ovčjim sirom,Slovenska,1,S. M.,13,10,20,30,990,314.67,187.25
Mesno-zelenjavni tortelini,Italijanska,2,T. D.,12,50,20,70,1605,254.65,588.25
Koprivni njoki,Vegetarijanstvo,2,T. D.,9,40,21,61,1816,128.81,287.25
Kislo-pekoča juha z rižem,Juhe in jedi na žlico,2,K. I.,13,20,60,80,1427,125.86,151.67
Svinjska rebrca v vinski omaki,Italijanska,2,T. D.,11,7,35,42,775,284.91,696.5
Telečji medaljoni s šampinjoni,Slovenska,2,T. D.,11,35,35,70,1154,117.72,430.25
Telečji medaljoni z bučkami,Meso,2,T. D.,9,6,25,31,702,103.03,1830.75
Klasična paška,Velika noč,3,T. D.,10,730,,730,1282,395.66,309.63
Regrat s slanino,Pomlad,1,K. I.,5,15,5,20,334,191.3,88.5
Fantovska pečenka,Meso,2,K. I.,17,20,90,110,1125,47.37,97.88
Enostavne rulade z zelenjavo in sirom,Slovenska,1,S. M.,6,15,10,25,845,62.84,77.5
Beljakovinsko-zelenjavni zajtrk,Slovenska,1,S. M.,9,10,8,18,622,99.5,128.5
